Target Distance: 100, Step Size: 2
2582: (x, y) = (-10.5632, -65.8027)
2583: (x, y) = (-9.38767, -67.4207)
2584: (x, y) = (-7.46515, -66.8695)
2585: (x, y) = (-9.43477, -66.5222)
2586: (x, y) = (-8.37493, -68.2183)
2587: (x, y) = (-6.71685, -67.0999)
2588: (x, y) = (-8.70924, -67.2742)
2589: (x, y) = (-9.36038, -65.3831)
2590: (x, y) = (-7.82829, -66.6687)
2591: (x, y) = (-9.19229, -65.206)
2592: (x, y) = (-10.9243, -64.206)
2593: (x, y) = (-9.32707, -65.4096)
2594: (x, y) = (-11.3258, -65.4794)
2595: (x, y) = (-9.96185, -66.9421)
2596: (x, y) = (-9.78754, -64.9498)
2597: (x, y) = (-10.9347, -66.5881)
2598: (x, y) = (-9.29639, -67.7352)
2599: (x, y) = (-9.19172, -69.7325)
2600: (x, y) = (-9.29639, -67.7352)
2601: (x, y) = (-7.85771, -69.1245)
2602: (x, y) = (-7.54484, -71.0999)
2603: (x, y) = (-5.54758, -71.2046)
2604: (x, y) = (-7.5172, -71.5519)
2605: (x, y) = (-5.70458, -72.3971)
2606: (x, y) = (-5.66968, -74.3968)
2607: (x, y) = (-7.13238, -73.0328)
2608: (x, y) = (-5.17609, -72.617)
2609: (x, y) = (-4.36262, -74.4441)
2610: (x, y) = (-3.58115, -72.6031)
2611: (x, y) = (-5.34705, -73.542)
2612: (x, y) = (-4.89715, -71.5933)
2613: (x, y) = (-6.12847, -73.1693)
2614: (x, y) = (-4.33088, -72.2925)
2615: (x, y) = (-2.69258, -73.4397)
2616: (x, y) = (-2.55306, -75.4348)
2617: (x, y) = (-0.856968, -76.4947)
2618: (x, y) = (1.14273, -76.5296)
2619: (x, y) = (0.829859, -74.5542)
2620: (x, y) = (2.11543, -76.0863)
2621: (x, y) = (0.159139, -76.5021)
2622: (x, y) = (-0.358499, -74.5703)
2623: (x, y) = (1.4074, -75.5092)
2624: (x, y) = (3.18941, -74.6012)
2625: (x, y) = (3.77415, -76.5138)
2626: (x, y) = (4.32543, -78.4364)
2627: (x, y) = (3.57621, -76.582)
2628: (x, y) = (5.23429, -75.4636)
2629: (x, y) = (4.14501, -73.7863)
2630: (x, y) = (3.69511, -75.735)
2631: (x, y) = (2.46379, -74.159)
2632: (x, y) = (2.81108, -72.1894)
2633: (x, y) = (4.14934, -70.7031)
2634: (x, y) = (3.00219, -69.0648)
2635: (x, y) = (3.00219, -71.0648)
2636: (x, y) = (4.82928, -70.2513)
2637: (x, y) = (6.44732, -69.0757)
2638: (x, y) = (6.76018, -71.0511)
2639: (x, y) = (8.37822, -69.8755)
2640: (x, y) = (6.52385, -70.6247)
2641: (x, y) = (8.46444, -71.1086)
2642: (x, y) = (7.5877, -69.311)
2643: (x, y) = (7.90057, -71.2864)
2644: (x, y) = (7.86566, -69.2867)
2645: (x, y) = (6.28964, -68.0554)
2646: (x, y) = (5.4129, -69.8529)
2647: (x, y) = (7.40529, -69.6786)
2648: (x, y) = (9.3179, -70.2634)
2649: (x, y) = (8.44116, -68.4658)
2650: (x, y) = (7.92352, -66.5339)
2651: (x, y) = (8.70498, -68.3749)
2652: (x, y) = (9.9363, -69.951)
2653: (x, y) = (8.20425, -70.951)
2654: (x, y) = (6.74155, -69.587)
2655: (x, y) = (4.95953, -70.495)
2656: (x, y) = (6.93491, -70.1821)
2657: (x, y) = (7.84289, -68.4001)
2658: (x, y) = (5.87964, -68.7817)
2659: (x, y) = (7.34234, -67.4177)
2660: (x, y) = (8.37242, -65.7034)
2661: (x, y) = (9.92671, -66.962)
2662: (x, y) = (11.3894, -65.598)
2663: (x, y) = (13.3527, -65.2164)
2664: (x, y) = (15.328, -64.9035)
2665: (x, y) = (13.3718, -64.4877)
2666: (x, y) = (13.7534, -66.4509)
2667: (x, y) = (15.4307, -65.3617)
2668: (x, y) = (15.9146, -63.4211)
2669: (x, y) = (16.5326, -61.519)
2670: (x, y) = (17.5627, -63.2333)
2671: (x, y) = (17.8755, -65.2087)
2672: (x, y) = (18.9354, -63.5126)
2673: (x, y) = (20.0247, -61.8352)
2674: (x, y) = (20.7087, -59.9559)
2675: (x, y) = (18.9944, -58.9258)
2676: (x, y) = (17.115, -59.6098)
2677: (x, y) = (18.5292, -61.024)
2678: (x, y) = (16.7166, -60.1788)
2679: (x, y) = (14.7193, -60.2835)
2680: (x, y) = (15.8086, -61.9608)
2681: (x, y) = (14.4703, -60.4745)
2682: (x, y) = (16.4266, -60.8903)
2683: (x, y) = (15.3373, -59.213)
2684: (x, y) = (17.2395, -59.831)
2685: (x, y) = (16.0923, -58.1927)
2686: (x, y) = (17.8244, -59.1927)
2687: (x, y) = (16.3617, -60.5567)
2688: (x, y) = (17.3313, -58.8075)
2689: (x, y) = (19.0086, -57.7182)
2690: (x, y) = (18.8691, -59.7133)
2691: (x, y) = (17.8691, -57.9813)
2692: (x, y) = (19.8581, -58.1903)
2693: (x, y) = (21.1437, -59.7224)
2694: (x, y) = (23.141, -59.6178)
2695: (x, y) = (22.0226, -61.2758)
2696: (x, y) = (23.9922, -61.6231)
2697: (x, y) = (24.476, -63.5637)
2698: (x, y) = (22.9218, -62.3051)
2699: (x, y) = (23.8914, -64.0543)
2700: (x, y) = (25.8865, -64.1938)
2701: (x, y) = (26.1302, -62.2087)
2702: (x, y) = (26.1302, -60.2087)
2703: (x, y) = (26.6815, -62.1313)
2704: (x, y) = (28.6378, -61.7154)
2705: (x, y) = (26.7584, -61.0314)
2706: (x, y) = (27.2423, -59.0908)
2707: (x, y) = (25.5462, -60.1506)
2708: (x, y) = (27.4949, -60.6005)
2709: (x, y) = (27.045, -58.6518)
2710: (x, y) = (26.9403, -60.6491)
2711: (x, y) = (27.6244, -62.5285)
2712: (x, y) = (26.4772, -64.1668)
2713: (x, y) = (25.2736, -62.5695)
2714: (x, y) = (25.7912, -64.5013)
2715: (x, y) = (24.194, -65.705)
2716: (x, y) = (23.0468, -64.0667)
2717: (x, y) = (21.8432, -62.4694)
2718: (x, y) = (22.1905, -60.4998)
2719: (x, y) = (23.2503, -58.8037)
2720: (x, y) = (21.3593, -58.1525)
2721: (x, y) = (19.7833, -59.3839)
2722: (x, y) = (21.0688, -57.8518)
2723: (x, y) = (19.2562, -57.0065)
2724: (x, y) = (20.7883, -55.721)
2725: (x, y) = (21.9919, -54.1237)
2726: (x, y) = (23.7063, -53.0936)
2727: (x, y) = (23.4625, -55.0787)
2728: (x, y) = (21.7133, -56.0483)
2729: (x, y) = (19.7282, -55.8046)
2730: (x, y) = (17.8738, -56.5538)
2731: (x, y) = (18.3237, -54.6051)
2732: (x, y) = (17.0924, -53.029)
2733: (x, y) = (15.1699, -52.4778)
2734: (x, y) = (17.1671, -52.3731)
2735: (x, y) = (15.6351, -51.0875)
2736: (x, y) = (13.7125, -51.6388)
2737: (x, y) = (14.0942, -49.6755)
2738: (x, y) = (12.6799, -51.0898)
2739: (x, y) = (10.6848, -51.2293)
2740: (x, y) = (11.8604, -49.6112)
2741: (x, y) = (13.8555, -49.4717)
2742: (x, y) = (15.7961, -49.9556)
2743: (x, y) = (16.4472, -51.8466)
2744: (x, y) = (18.4424, -51.7071)
2745: (x, y) = (16.8243, -50.5315)
2746: (x, y) = (18.7264, -49.9135)
2747: (x, y) = (17.4678, -48.3592)
2748: (x, y) = (17.5027, -50.3589)
2749: (x, y) = (19.2348, -51.3589)
2750: (x, y) = (17.2497, -51.6026)
2751: (x, y) = (17.8677, -49.7005)
2752: (x, y) = (15.8923, -50.0134)
2753: (x, y) = (14.803, -51.6907)
2754: (x, y) = (14.4558, -49.7211)
2755: (x, y) = (14.0741, -47.7579)
2756: (x, y) = (12.172, -47.1398)
2757: (x, y) = (10.8599, -45.6304)
2758: (x, y) = (12.855, -45.4909)
2759: (x, y) = (14.8183, -45.1093)
2760: (x, y) = (12.8232, -44.9698)
2761: (x, y) = (13.239, -43.0135)
2762: (x, y) = (13.3088, -41.0147)
2763: (x, y) = (14.4272, -42.6728)
2764: (x, y) = (13.4882, -44.4387)
2765: (x, y) = (13.4533, -42.439)
2766: (x, y) = (14.916, -43.803)
2767: (x, y) = (15.2976, -41.8397)
2768: (x, y) = (16.7604, -40.4757)
2769: (x, y) = (14.7616, -40.5455)
2770: (x, y) = (13.3474, -39.1313)
2771: (x, y) = (13.1036, -37.1462)
2772: (x, y) = (11.1146, -37.3553)
2773: (x, y) = (13.0997, -37.599)
2774: (x, y) = (12.718, -39.5622)
2775: (x, y) = (10.7484, -39.9095)
2776: (x, y) = (9.28572, -38.5455)
2777: (x, y) = (9.52946, -40.5306)
2778: (x, y) = (7.56621, -40.9123)
2779: (x, y) = (8.87833, -39.4028)
2780: (x, y) = (8.12911, -41.2572)
2781: (x, y) = (7.44507, -43.1366)
2782: (x, y) = (9.43017, -43.3803)
2783: (x, y) = (9.88007, -41.4316)
2784: (x, y) = (11.8798, -41.4665)
2785: (x, y) = (11.7751, -39.4692)
2786: (x, y) = (13.0607, -37.9371)
2787: (x, y) = (11.1696, -37.286)
2788: (x, y) = (10.9259, -35.3009)
2789: (x, y) = (12.073, -33.6626)
2790: (x, y) = (10.0925, -33.3843)
2791: (x, y) = (8.4542, -32.2371)
2792: (x, y) = (10.4466, -32.0628)
2793: (x, y) = (9.10833, -30.5765)
2794: (x, y) = (10.6844, -31.8078)
2795: (x, y) = (9.93514, -33.6622)
2796: (x, y) = (9.72608, -31.6732)
2797: (x, y) = (10.039, -33.6485)
2798: (x, y) = (8.14791, -34.2997)
2799: (x, y) = (10.1112, -33.9181)
2800: (x, y) = (11.8932, -34.826)
2801: (x, y) = (10.0956, -35.7028)
2802: (x, y) = (11.975, -36.3868)
2803: (x, y) = (10.1078, -35.6701)
2804: (x, y) = (10.759, -33.779)
2805: (x, y) = (9.72888, -35.4934)
2806: (x, y) = (8.24259, -36.8316)
2807: (x, y) = (6.49335, -37.8013)
2808: (x, y) = (4.65234, -37.0198)
2809: (x, y) = (5.16998, -38.9516)
2810: (x, y) = (3.8844, -37.4196)
2811: (x, y) = (5.29862, -36.0053)
2812: (x, y) = (3.30349, -35.8658)
2813: (x, y) = (2.21421, -34.1885)
2814: (x, y) = (4.20325, -34.3975)
2815: (x, y) = (2.21086, -34.2232)
2816: (x, y) = (0.613593, -35.4269)
2817: (x, y) = (2.05227, -34.0376)
2818: (x, y) = (3.89328, -34.819)
2819: (x, y) = (1.90424, -35.0281)
2820: (x, y) = (3.65348, -35.9977)
2821: (x, y) = (5.52064, -35.281)
2822: (x, y) = (7.26988, -36.2506)
2823: (x, y) = (9.11089, -37.032)
2824: (x, y) = (7.3133, -36.1553)
2825: (x, y) = (8.09476, -37.9963)
2826: (x, y) = (7.85102, -36.0112)
2827: (x, y) = (6.79119, -34.3151)
2828: (x, y) = (7.00024, -32.3261)
2829: (x, y) = (5.04395, -31.9102)
2830: (x, y) = (3.67995, -30.4475)
2831: (x, y) = (4.76923, -28.7702)
2832: (x, y) = (6.70982, -28.2864)
2833: (x, y) = (5.92836, -26.4453)
2834: (x, y) = (4.33109, -27.649)
2835: (x, y) = (4.5054, -25.6566)
2836: (x, y) = (3.09118, -27.0708)
2837: (x, y) = (4.4033, -28.5802)
2838: (x, y) = (2.46271, -28.0964)
2839: (x, y) = (4.31708, -27.3472)
2840: (x, y) = (3.19869, -29.0052)
2841: (x, y) = (4.07544, -30.8028)
2842: (x, y) = (5.04505, -32.5521)
2843: (x, y) = (5.5289, -34.4927)
2844: (x, y) = (6.27811, -36.347)
2845: (x, y) = (7.05957, -38.188)
2846: (x, y) = (6.71228, -36.2184)
2847: (x, y) = (8.57944, -35.5017)
2848: (x, y) = (6.8302, -36.4713)
2849: (x, y) = (8.08884, -38.0256)
2850: (x, y) = (6.30683, -38.9336)
2851: (x, y) = (4.30713, -38.9685)
2852: (x, y) = (6.03918, -39.9685)
2853: (x, y) = (4.0404, -39.8987)
2854: (x, y) = (5.77245, -38.8987)
2855: (x, y) = (7.76758, -39.0382)
2856: (x, y) = (9.6901, -39.5895)
2857: (x, y) = (8.48647, -37.9922)
2858: (x, y) = (7.54753, -36.2263)
2859: (x, y) = (8.29674, -34.3719)
2860: (x, y) = (9.14198, -36.1845)
2861: (x, y) = (8.0527, -34.5072)
2862: (x, y) = (6.87713, -32.8892)
2863: (x, y) = (4.87743, -32.9241)
2864: (x, y) = (4.2263, -31.033)
2865: (x, y) = (2.58799, -32.1802)
2866: (x, y) = (2.44848, -34.1753)
2867: (x, y) = (4.24607, -35.0521)
2868: (x, y) = (5.82209, -33.8207)
2869: (x, y) = (6.96924, -35.459)
2870: (x, y) = (5.63098, -36.9453)
2871: (x, y) = (3.97291, -35.8269)
2872: (x, y) = (3.00329, -37.5762)
2873: (x, y) = (1.05455, -37.1263)
2874: (x, y) = (1.70568, -35.2352)
2875: (x, y) = (-0.279408, -34.9915)
2876: (x, y) = (1.48649, -35.9305)
2877: (x, y) = (-0.488889, -35.6176)
2878: (x, y) = (-2.42948, -36.1014)
2879: (x, y) = (-4.42918, -36.1363)
2880: (x, y) = (-5.42918, -34.4043)
2881: (x, y) = (-5.3245, -36.4015)
2882: (x, y) = (-6.50007, -38.0196)
2883: (x, y) = (-4.92405, -39.2509)
2884: (x, y) = (-3.30602, -40.4265)
2885: (x, y) = (-3.51508, -42.4155)
2886: (x, y) = (-5.47833, -42.7971)
2887: (x, y) = (-4.24701, -44.3732)
2888: (x, y) = (-4.49075, -46.3582)
2889: (x, y) = (-3.23211, -47.9125)
2890: (x, y) = (-3.98132, -49.7669)
2891: (x, y) = (-5.88343, -50.3849)
2892: (x, y) = (-4.73628, -52.0232)
2893: (x, y) = (-5.54975, -53.8503)
2894: (x, y) = (-3.65871, -53.1992)
2895: (x, y) = (-2.48314, -51.5812)
2896: (x, y) = (-0.701131, -52.4891)
2897: (x, y) = (-2.5555, -51.7399)
2898: (x, y) = (-0.789604, -50.801)
2899: (x, y) = (1.17365, -50.4194)
2900: (x, y) = (2.98627, -51.2646)
2901: (x, y) = (1.75494, -49.6886)
2902: (x, y) = (3.48699, -48.6886)
2903: (x, y) = (1.86896, -49.8642)
2904: (x, y) = (2.7142, -51.6768)
2905: (x, y) = (2.33258, -49.7135)
2906: (x, y) = (2.05423, -51.6941)
2907: (x, y) = (1.94956, -53.6913)
2908: (x, y) = (0.331526, -52.5157)
2909: (x, y) = (2.02762, -53.5756)
2910: (x, y) = (3.55971, -54.8612)
2911: (x, y) = (2.12103, -53.4718)
2912: (x, y) = (1.30756, -51.6447)
2913: (x, y) = (-0.624293, -52.1624)
2914: (x, y) = (1.10776, -53.1624)
2915: (x, y) = (1.52358, -51.2061)
2916: (x, y) = (3.27282, -52.1757)
2917: (x, y) = (1.38178, -51.5246)
2918: (x, y) = (0.96596, -53.4809)
2919: (x, y) = (-0.181193, -55.1192)
2920: (x, y) = (-0.897929, -53.252)
2921: (x, y) = (1.00418, -52.634)
2922: (x, y) = (2.15134, -54.2723)
2923: (x, y) = (2.76937, -56.1744)
2924: (x, y) = (2.59506, -58.1668)
2925: (x, y) = (0.68245, -58.7515)
2926: (x, y) = (2.58456, -59.3696)
2927: (x, y) = (1.52472, -61.0657)
2928: (x, y) = (0.160728, -62.5284)
2929: (x, y) = (-0.778215, -64.2943)
2930: (x, y) = (-1.83805, -62.5982)
2931: (x, y) = (-3.69242, -63.3474)
2932: (x, y) = (-1.72281, -63.0001)
2933: (x, y) = (-3.4887, -62.0611)
2934: (x, y) = (-2.80466, -63.9405)
2935: (x, y) = (-4.80192, -63.8359)
2936: (x, y) = (-5.94907, -62.1975)
2937: (x, y) = (-5.07233, -60.4)
2938: (x, y) = (-4.86327, -58.4109)
2939: (x, y) = (-6.41757, -57.1523)
2940: (x, y) = (-4.74022, -56.063)
2941: (x, y) = (-4.53117, -58.052)
2942: (x, y) = (-4.28743, -60.0371)
2943: (x, y) = (-2.39639, -59.386)
2944: (x, y) = (-0.483782, -59.9707)
2945: (x, y) = (-1.26524, -61.8117)
2946: (x, y) = (-1.50898, -59.8267)
2947: (x, y) = (-3.49408, -60.0704)
2948: (x, y) = (-2.18196, -58.561)
2949: (x, y) = (-3.54595, -60.0237)
2950: (x, y) = (-2.60701, -58.2578)
2951: (x, y) = (-0.910915, -57.1979)
2952: (x, y) = (-1.75615, -59.0106)
2953: (x, y) = (-2.78623, -60.7249)
2954: (x, y) = (-4.74252, -61.1407)
2955: (x, y) = (-6.47457, -60.1407)
2956: (x, y) = (-5.99073, -58.2001)
2957: (x, y) = (-7.97977, -57.9911)
2958: (x, y) = (-8.29264, -59.9665)
2959: (x, y) = (-7.20336, -61.6438)
2960: (x, y) = (-6.58533, -63.5459)
2961: (x, y) = (-7.10297, -65.4778)
2962: (x, y) = (-5.19036, -64.893)
2963: (x, y) = (-7.15997, -64.5457)
2964: (x, y) = (-6.84711, -66.5211)
2965: (x, y) = (-5.61578, -68.0971)
2966: (x, y) = (-3.66704, -68.547)
2967: (x, y) = (-3.45799, -70.5361)
2968: (x, y) = (-1.50169, -70.1202)
2969: (x, y) = (-0.412412, -71.7976)
2970: (x, y) = (0.676866, -70.1202)
2971: (x, y) = (0.920605, -72.1053)
2972: (x, y) = (-0.633687, -73.364)
2973: (x, y) = (-2.43128, -74.2407)
2974: (x, y) = (-1.55453, -76.0383)
2975: (x, y) = (-1.03689, -74.1065)
2976: (x, y) = (0.601409, -75.2536)
2977: (x, y) = (2.27875, -74.1643)
2978: (x, y) = (2.0004, -76.1449)
2979: (x, y) = (1.18693, -77.972)
2980: (x, y) = (-0.15133, -76.4857)
2981: (x, y) = (-2.07385, -77.0369)
2982: (x, y) = (-1.79551, -79.0175)
2983: (x, y) = (0.106605, -78.3994)
2984: (x, y) = (0.624244, -76.4676)
2985: (x, y) = (2.52636, -77.0856)
2986: (x, y) = (4.05845, -75.8)
2987: (x, y) = (2.29255, -74.8611)
2988: (x, y) = (0.465459, -74.0476)
2989: (x, y) = (-1.51963, -73.8039)
2990: (x, y) = (0.157708, -74.8932)
2991: (x, y) = (1.59639, -76.2825)
2992: (x, y) = (2.3456, -74.4281)
2993: (x, y) = (0.74833, -75.6317)
2994: (x, y) = (-0.427241, -74.0137)
2995: (x, y) = (-1.98153, -75.2724)
2996: (x, y) = (-3.91338, -74.7547)
2997: (x, y) = (-4.69485, -72.9137)
2998: (x, y) = (-6.10906, -71.4995)
2999: (x, y) = (-8.10632, -71.3948)
3000: (x, y) = (-7.48828, -73.2969)
3001: (x, y) = (-6.61154, -71.4993)
3002: (x, y) = (-6.78585, -69.507)
3003: (x, y) = (-4.90647, -68.8229)
3004: (x, y) = (-4.90647, -70.8229)
3005: (x, y) = (-5.15021, -72.808)
3006: (x, y) = (-5.32452, -70.8156)
3007: (x, y) = (-6.4429, -72.4737)
3008: (x, y) = (-5.53492, -74.2557)
3009: (x, y) = (-3.53766, -74.3604)
3010: (x, y) = (-4.5975, -72.6643)
3011: (x, y) = (-3.56743, -74.3786)
3012: (x, y) = (-5.51617, -74.8285)
3013: (x, y) = (-5.4115, -76.8258)
3014: (x, y) = (-3.90208, -78.1379)
3015: (x, y) = (-3.97188, -80.1367)
3016: (x, y) = (-4.48951, -82.0685)
3017: (x, y) = (-2.48951, -82.0685)
3018: (x, y) = (-1.7403, -83.9229)
3019: (x, y) = (-1.25646, -85.8635)
3020: (x, y) = (-3.24155, -85.6198)
3021: (x, y) = (-4.57981, -84.1335)
3022: (x, y) = (-5.57981, -85.8655)
3023: (x, y) = (-6.39328, -84.0384)
3024: (x, y) = (-4.43003, -84.42)
3025: (x, y) = (-5.4601, -86.1344)
3026: (x, y) = (-3.67809, -87.0424)
3027: (x, y) = (-5.47568, -86.1656)
3028: (x, y) = (-6.91436, -87.5549)
3029: (x, y) = (-5.02332, -88.2061)
3030: (x, y) = (-6.86433, -88.9875)
3031: (x, y) = (-8.64635, -88.0795)
3032: (x, y) = (-7.23213, -86.6653)
3033: (x, y) = (-9.20175, -86.318)
3034: (x, y) = (-11.1868, -86.0743)
3035: (x, y) = (-9.74816, -87.4636)
3036: (x, y) = (-9.19689, -85.5411)
3037: (x, y) = (-9.26668, -87.5399)
3038: (x, y) = (-8.38994, -85.7423)
3039: (x, y) = (-9.29792, -87.5243)
3040: (x, y) = (-9.47223, -89.5167)
3041: (x, y) = (-8.4124, -87.8206)
3042: (x, y) = (-10.4075, -87.9601)
3043: (x, y) = (-8.67547, -88.9601)
3044: (x, y) = (-6.92623, -89.9297)
3045: (x, y) = (-8.54427, -88.7542)
3046: (x, y) = (-9.60411, -90.4503)
3047: (x, y) = (-9.91698, -88.4749)
3048: (x, y) = (-7.99445, -87.9236)
3049: (x, y) = (-6.53174, -86.5596)
3050: (x, y) = (-7.04938, -88.4915)
3051: (x, y) = (-6.07976, -86.7422)
3052: (x, y) = (-8.07215, -86.5679)
3053: (x, y) = (-6.08706, -86.3242)
3054: (x, y) = (-8.07945, -86.1499)
3055: (x, y) = (-6.46142, -84.9743)
3056: (x, y) = (-7.27489, -86.8014)
3057: (x, y) = (-5.40773, -86.0846)
3058: (x, y) = (-4.46879, -84.3187)
3059: (x, y) = (-5.18552, -82.4516)
3060: (x, y) = (-3.18674, -82.3818)
3061: (x, y) = (-3.36105, -84.3742)
3062: (x, y) = (-4.79973, -82.9849)
3063: (x, y) = (-3.43573, -81.5221)
3064: (x, y) = (-2.95189, -79.5816)
3065: (x, y) = (-1.69325, -81.1358)
3066: (x, y) = (-2.8404, -82.7742)
3067: (x, y) = (-0.986034, -82.0249)
3068: (x, y) = (-0.951129, -80.0252)
3069: (x, y) = (0.0184899, -81.7745)
3070: (x, y) = (-0.155822, -83.7669)
3071: (x, y) = (-1.54514, -85.2056)
3072: (x, y) = (-2.83071, -86.7376)
3073: (x, y) = (-1.27642, -87.9963)
3074: (x, y) = (-3.19895, -88.5476)
3075: (x, y) = (-2.6142, -86.6349)
3076: (x, y) = (-3.13184, -84.7031)
3077: (x, y) = (-1.95627, -86.3211)
3078: (x, y) = (-3.93681, -86.0428)
3079: (x, y) = (-1.95171, -86.2865)
3080: (x, y) = (-3.46113, -87.5986)
3081: (x, y) = (-2.49151, -89.3479)
3082: (x, y) = (-1.34436, -87.7096)
3083: (x, y) = (-1.41416, -89.7084)
3084: (x, y) = (-0.210529, -91.3056)
3085: (x, y) = (-1.4961, -92.8377)
3086: (x, y) = (-0.377718, -94.4958)
3087: (x, y) = (-2.32646, -94.9457)
3088: (x, y) = (-2.97759, -96.8367)
3089: (x, y) = (-0.988551, -96.6277)
3090: (x, y) = (-2.98368, -96.4882)
3091: (x, y) = (-3.56842, -98.4008)
3092: (x, y) = (-5.18646, -97.2252)
3093: (x, y) = (-3.8482, -98.7115)
3094: (x, y) = (-5.83329, -98.4678)
After 3095 steps, the subject has the following location:
(x, y) = (-7.36538, -99.7533)
 or
(m, a) = (100.025, -94.2228)
Average outward distance per step = 0.0323182
